LambLife starting: 30x30 grid, seed=1, ticks=200
tick=110 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=53650.6 energy=5403.9/66150.9 size=28.7/499 age=104.7/110 gen=4
tick=111 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=43667.9 energy=5452.4/66613.9 size=28.7/499 age=105.7/111 gen=4
tick=112 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=48986.0 energy=5506.8/67679.6 size=28.7/499 age=106.7/112 gen=4
tick=113 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=50111.7 energy=5562.5/68142.6 size=28.7/499 age=107.7/113 gen=4
tick=114 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=48421.8 energy=5616.3/68604.6 size=28.7/499 age=108.7/114 gen=4
tick=115 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=46975.3 energy=5668.5/69067.6 size=28.7/499 age=109.7/115 gen=4
tick=116 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=59108.2 energy=5734.2/69529.6 size=28.7/499 age=110.7/116 gen=4
tick=117 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=45151.6 energy=5784.3/69990.6 size=28.7/499 age=111.7/117 gen=4
tick=118 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=48956.2 energy=5838.7/70453.6 size=28.7/499 age=112.7/118 gen=4
tick=119 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=51791.8 energy=5896.3/70349.0 size=28.7/499 age=113.7/119 gen=4
tick=120 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=47717.4 energy=5949.3/71408.7 size=28.7/499 age=114.7/120 gen=4
tick=121 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=56139.8 energy=6011.7/71882.4 size=28.7/499 age=115.7/121 gen=4
tick=122 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=46528.2 energy=6063.4/71777.8 size=28.7/499 age=116.7/122 gen=4
tick=123 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=45376.7 energy=6113.8/72836.5 size=28.7/499 age=117.7/123 gen=4
tick=124 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=45224.9 energy=6164.0/73894.2 size=28.7/499 age=118.7/124 gen=4
tick=125 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=50612.0 energy=6220.3/74954.9 size=28.7/499 age=119.7/125 gen=4
