LambLife starting: 50x50 grid, seed=2, ticks=10000
  #6: hash=4d3be084d3467d01 pop=62 avg_energy=82485.4 center=(23,26)
  #7: hash=d00900ec926a0a46 pop=50 avg_energy=212339.1 center=(20,24)
  #8: hash=2c0252c55f91c01e pop=39 avg_energy=98791.4 center=(24,17)
  #9: hash=0a481eb844d7ae83 pop=37 avg_energy=113375.3 center=(27,25)
  #10: hash=c8ebdfc8786d6db9 pop=27 avg_energy=187517.7 center=(26,25)
tick=5000 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=163344.6/2592001.3 size=11.4/499 age=4996.9/5000 gen=4
tick=5100 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=166627.6/2647812.6 size=11.4/499 age=5096.9/5100 gen=4
tick=5200 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=169879.2/2692005.2 size=11.4/499 age=5196.9/5200 gen=4
tick=5300 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=173147.1/2743740.7 size=11.4/499 age=5296.9/5300 gen=4
tick=5400 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=176400.6/2802127.5 size=11.4/499 age=5396.9/5400 gen=4
tick=5500 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=179681.3/2863547.0 size=11.4/499 age=5496.9/5500 gen=4
tick=5600 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=182943.5/2924449.7 size=11.4/499 age=5596.9/5600 gen=4
tick=5700 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=186192.6/2979927.3 size=11.4/499 age=5696.9/5700 gen=4
tick=5800 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=189493.5/3029449.7 size=11.4/499 age=5796.9/5800 gen=4
tick=5900 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=192750.3/3075993.1 size=11.4/499 age=5896.9/5900 gen=4
=== Diversity @ tick 6000: 534 unique species ===
  #1: hash=778c93a8b040cf3f pop=674 avg_energy=100778.1 center=(24,24)
  #2: hash=40c0c668478ecf90 pop=347 avg_energy=211869.2 center=(25,25)
  #3: hash=82b3dcb707aae47f pop=146 avg_energy=83025.5 center=(22,24)
